,Name,Address,Rating,latitude,longitude,genera_type,place_id,icon,business_status,type
155,Medialogy Group,"Prince Sultan Branch Road, Jeddah",5,21.6212095,39.138057,"['point_of_interest', 'establishment']",ChIJBUMvWBfawxURJBOkfDGYk4I,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
156,سمارت آرت,"Prince Sultan Branch Road, Jeddah",3,21.6211759,39.13828949999999,"['general_contractor', 'point_of_interest', 'establishment']",ChIJS3Fa_RnawxURHyuSMcWA-EE,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,general_contractor
157,عيادات كوكب الأسنان,"Prince sultan street, Jeddah",4,21.6209401,39.1383652,"['dentist', 'health', 'point_of_interest', 'establishment']",ChIJLzF9_RnawxUR6f3_GB2AyCA,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,dentist
158,Muhammad Ali confectioner consultancy Architecture,"Al Amal, J4FR+73F, Jeddah",3.5,21.6231809,39.1401612,"['point_of_interest', 'establishment']",ChIJW5ZtLhrawxURlvUkM4rv5Fo,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
159,Al Naeem,Al Naeem,N/A,21.6201722,39.1468025,"['sublocality_level_1', 'sublocality', 'political']",ChIJhQ-9Ix3awxUR50298aTyVSo,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,N/A,sublocality_level_1
161,Samsung Showroom,"Prince Sultan Road, Jeddah",4.1,21.6174087,39.1390958,"['electronics_store', 'store', 'point_of_interest', 'establishment']",ChIJfWGbNhHawxURZ8lgEoHnWys,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,OPERATIONAL,electronics_store
163,بنّوب ديكور & تصميم,"J49Q+G57, Jeddah",3.7,21.61879889999999,39.1379351,"['general_contractor', 'point_of_interest', 'establishment']",ChIJYQT3JxfawxURIrdD9mITu-8,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,general_contractor
164,Freyssinet Saudi Arabia,"8853 طريق الامير سلطان جدة, District",4.5,21.6191444,39.1385868,"['general_contractor', 'point_of_interest', 'establishment']",ChIJueSHLRfawxURG_OcZqzUQjQ,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,general_contractor
165,IFS,"Prince Sultan Road, J49Q+JFX, Jeddah",4.6,21.6191113,39.1387375,"['point_of_interest', 'establishment']",ChIJNXu5MhfawxURN8a7fdDcNtU,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
166,RIYADA HOTELS&RESORTS,"8829 حفص بن المغيره, An Naim District, جدة",3,21.6189733,39.1391116,"['point_of_interest', 'establishment']",ChIJL-I20xDawxUR6kspeqSKiaY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
